movieID,genreID
1,1
1,2
1,3
1,4
1,5
2,1
2,3
2,5
3,4
3,6
4,4
4,7
4,6
5,4
6,8
6,9
6,10
7,4
7,6
8,1
8,3
9,8
10,8
10,1
10,10
11,4
11,7
11,6
12,4
12,11
13,1
13,2
13,3
14,7
15,8
15,1
15,6
16,9
16,7
17,7
17,6
18,4
19,4
20,8
20,4
20,9
20,7
20,10
21,4
21,9
21,10
22,9
22,7
22,11
22,12
22,10
23,8
23,9
23,10
24,7
24,13
25,7
25,6
26,7
27,3
27,7
28,7
28,6
29,1
29,7
29,5
29,12
29,13
30,9
30,7
31,7
32,12
32,13
32,10
34,3
34,7
36,9
36,7
38,3
38,4
39,4
39,6
40,7
41,7
41,14
42,8
42,9
42,7
43,7
44,8
44,1
44,5
45,4
45,7
45,10
46,7
46,6
47,12
47,10
48,2
48,3
48,7
48,15
48,6
49,7
49,6
50,9
50,12
50,10
52,4
52,7
52,6
53,1
53,7
54,3
54,4
55,7
57,7
58,4
58,7
58,6
60,1
60,3
60,5
61,7
61,10
62,7
63,4
63,9
64,4
64,6
65,4
66,8
66,13
66,10
68,4
68,6
69,4
70,8
70,4
70,11
70,10
71,8
72,4
72,7
73,7
73,14
74,7
74,6
75,4
75,7
76,8
76,13
76,10
77,16
78,8
78,9
78,7
78,10
79,7
79,10
80,3
80,7
81,9
81,7
81,6
82,4
82,7
83,7
83,6
85,7
85,6
86,8
86,1
86,7
87,3
87,4
88,4
89,8
89,10
92,7
92,11
92,10
93,4
93,11
93,6
94,4
94,7
94,6
95,8
95,1
95,10
96,4
96,7
97,9
97,7
99,16
100,7
100,10
101,1
101,4
101,9
101,6
102,4
103,12
103,13
103,10
104,4
105,7
105,6
106,4
106,7
107,1
107,3
107,4
107,15
108,16
110,8
110,7
110,14
111,9
111,7
111,10
112,8
112,1
112,4
112,9
113,7
113,12
116,16
117,9
117,7
118,4
118,6
119,4
121,7
122,4
122,6
123,7
123,12
123,6
125,4
126,1
126,3
126,5
128,16
129,4
129,6
132,10
135,4
137,16
140,7
140,6
141,4
144,4
145,8
145,4
145,9
145,7
145,10
146,1
146,3
147,7
148,7
149,9
149,7
149,10
150,1
150,7
150,17
151,8
151,7
151,6
151,14
152,7
152,11
153,8
153,1
153,4
153,9
154,7
155,1
155,7
155,14
156,4
156,7
157,4
157,14
158,1
158,3
159,9
159,7
159,12
160,8
160,1
160,12
160,13
161,7
161,10
161,14
162,16
163,8
163,6
163,18
164,9
164,19
164,12
164,10
165,8
165,9
165,10
166,4
166,9
166,7
168,8
168,7
168,6
169,1
169,3
169,7
170,8
170,1
170,9
170,10
171,4
171,7
172,8
172,13
172,10
173,8
173,9
173,13
174,4
175,7
176,4
177,11
178,4
178,7
179,7
179,6
180,4
180,6
181,8
181,3
183,4
183,11
183,10
184,7
185,8
185,9
185,10
186,4
186,6
187,4
188,5
188,11
188,12
189,4
189,5
190,10
191,7
191,6
193,7
194,4
194,7
195,4
195,7
195,6
196,11
196,13
198,8
198,9
198,7
198,12
198,13
198,10
199,7
199,15
199,6
201,7
201,5
202,7
202,6
203,4
204,8
205,4
205,7
206,16
207,7
207,6
208,8
208,1
208,13
209,7
210,18
211,7
212,1
212,4
212,9
212,12
213,7
214,7
214,14
215,7
215,6
216,4
217,7
217,10
218,4
218,7
219,7
220,11
222,7
222,6
223,4
224,4
224,7
224,6
225,7
225,10
227,8
227,10
228,4
229,7
229,10
230,7
230,10
231,1
231,4
232,4
232,7
232,6
233,7
234,4
235,4
235,7
236,8
236,4
236,6
237,4
237,6
238,1
238,3
239,2
239,3
239,4
239,6
240,10
241,3
241,7
242,7
242,15
243,3
243,4
243,5
246,16
247,9
247,7
248,4
249,7
249,6
250,3
250,4
251,8
252,4
252,6
253,7
253,11
254,7
255,4
256,4
256,13
257,12
257,10
258,1
258,3
258,4
258,5
258,6
259,9
259,7
259,10
260,8
260,1
260,13
261,7
262,3
262,7
263,7
265,7
265,5
265,6
266,7
266,6
266,14
266,18
267,4
269,7
270,7
270,6
271,7
272,4
272,7
273,7
273,11
273,13
274,4
275,4
276,4
276,6
277,7
278,4
279,7
280,7
280,10
281,4
281,7
281,6
282,7
283,9
283,7
284,8
284,9
285,7
285,11
287,4
287,6
288,8
288,9
288,10
289,4
289,6
290,9
290,7
291,7
291,10
292,8
292,7
292,13
292,10
293,8
293,9
293,7
293,10
294,4
294,6
295,4
295,6
296,4
296,9
296,7
296,10
298,7
299,7
300,7
301,7
301,6
302,7
302,6
303,8
303,10
303,18
304,4
304,7
305,4
306,7
307,7
308,4
308,7
310,4
311,11
311,10
312,4
313,2
313,3
314,3
314,7
314,5
314,12
315,8
315,7
315,10
316,8
316,1
316,13
317,4
317,7
317,5
318,9
318,7
319,4
319,7
319,10
320,19
320,10
321,7
322,4
322,7
324,4
324,7
325,4
326,7
327,8
327,4
327,13
328,11
328,10
329,1
329,7
329,13
330,8
330,9
330,11
331,7
332,11
332,13
333,4
334,7
335,12
335,10
336,7
336,14
337,7
338,8
338,13
338,10
339,4
339,6
340,1
340,7
340,14
341,7
342,4
343,3
344,4
345,4
345,7
346,7
346,15
347,7
347,19
347,6
348,4
349,8
349,9
349,7
349,10
350,7
350,12
350,10
351,4
351,7
351,6
352,4
352,7
353,8
353,9
353,5
353,10
354,7
355,3
355,4
355,5
356,4
356,7
356,6
356,14
357,4
357,6
358,7
359,4
359,7
359,6
360,8
360,4
361,4
361,7
361,6
362,1
362,3
362,6
363,16
364,1
364,2
364,3
364,7
364,15
364,17
365,7
366,7
366,11
366,12
366,10
367,8
367,4
367,9
367,5
368,1
368,4
368,18
369,7
370,8
370,4
371,4
371,7
372,4
372,7
372,6
373,10
374,3
374,4
376,8
376,10
377,8
377,6
377,10
378,4
378,6
379,8
379,13
379,10
380,8
380,1
380,4
380,6
380,10
381,7
381,6
382,7
382,11
382,6
382,10
383,18
384,8
384,9
384,7
385,7
386,7
387,8
387,4
388,7
389,7
389,6
389,14
390,8
390,9
390,7
391,9
391,7
393,8
393,1
393,5
405,8
405,5
406,7
407,11
407,10
408,7
409,9
409,7
410,3
410,4
410,5
412,7
413,4
414,4
415,4
415,10
416,18
417,4
417,6
418,7
419,4
420,8
420,4
420,9
420,10
421,1
421,3
421,7
422,10
423,8
423,10
424,7
425,7
425,6
426,11
426,13
426,10
427,7
427,12
427,6
427,10
428,7
429,4
430,4
430,7
431,9
431,7
432,1
432,4
432,18
433,4
434,8
434,1
434,10
435,4
435,13
436,7
436,10
437,4
438,8
438,4
438,7
440,4
440,6
441,4
442,8
442,1
442,13
444,4
444,6
445,4
446,7
446,6
448,7
449,4
450,4
450,7
451,7
451,12
451,6
452,7
453,4
453,6
454,7
454,10
455,1
455,3
455,7
456,9
456,7
456,10
457,10
458,7
458,18
459,8
459,1
459,9
459,7
459,6
459,10
460,4
461,7
461,6
464,8
464,1
464,9
464,10
466,8
466,4
466,14
467,4
468,4
468,6
469,7
469,6
470,4
471,4
472,4
472,7
473,4
473,14
474,8
474,10
475,7
476,4
476,7
477,7
477,15
478,4
478,9
478,7
479,8
479,9
479,10
480,8
480,1
480,13
480,10
481,7
481,10
482,9
482,7
482,10
484,1
484,3
485,8
485,1
485,4
485,5
486,4
487,4
487,18
488,7
488,6
489,4
490,10
491,7
492,4
492,12
493,8
493,9
493,7
494,8
494,1
494,10
495,7
496,4
496,7
496,6
496,10
497,4
497,6
499,4
499,6
500,4
500,7
501,7
502,8
502,3
502,6
504,8
504,7
504,13
505,4
506,7
506,5
506,6
507,9
507,7
507,10
508,7
509,7
509,6
510,7
511,8
511,7
512,11
512,13
513,4
513,12
513,6
514,4
515,7
515,6
516,4
516,7
517,8
517,7
517,12
518,4
519,8
519,9
519,7
519,13
519,10
520,4
521,9
521,10
522,8
522,7
523,7
524,7
526,7
527,7
527,14
528,4
528,7
529,7
531,3
531,7
532,4
532,9
532,11
533,8
533,1
533,5
533,12
534,7
534,6
535,7
536,7
537,7
538,7
539,4
539,7
539,6
540,10
541,8
541,13
541,10
542,4
542,7
542,6
543,4
543,6
543,10
544,8
544,9
546,8
546,1
546,3
546,4
546,5
546,13
547,8
547,1
547,10
548,8
548,12
548,10
549,7
549,15
550,4
550,6
551,2
551,3
551,5
551,15
552,8
552,1
552,4
552,6
553,8
553,7
553,18
555,9
555,10
556,16
558,8
558,1
558,2
558,3
558,5
562,4
562,7
563,7
563,6
564,4
567,4
567,7
568,4
568,7
569,4
569,7
573,7
574,4
574,7
575,3
575,4
577,1
577,3
577,7
579,9
579,10
580,7
581,16
583,4
583,7
585,4
586,3
586,4
587,4
587,7
587,5
587,6
587,10
588,1
588,2
588,3
588,4
588,15
589,8
589,13
590,1
590,7
590,18
592,8
592,9
592,10
593,9
593,11
593,10
594,2
594,3
594,7
594,5
594,15
595,2
595,3
595,5
595,15
595,6
595,17
596,2
596,3
596,5
596,15
597,4
597,6
599,1
599,18
600,8
600,4
600,9
602,16
605,7
605,6
606,5
606,11
608,4
608,9
608,7
608,10
609,1
609,3
610,8
610,1
610,2
610,11
610,13
611,8
611,11
611,13
612,4
613,7
613,6
615,4
615,7
616,2
616,3
617,4
617,7
618,4
618,6
619,4
626,4
627,7
627,10
628,9
628,7
628,12
628,10
631,1
631,2
631,3
631,5
631,15
631,6
632,7
632,14
633,4
634,4
635,4
635,7
636,7
637,4
638,6
639,4
639,7
640,7
640,10
645,7
647,8
647,9
647,7
647,14
648,8
648,1
648,12
648,10
649,4
649,7
650,7
653,8
653,1
653,5
656,4
661,1
661,2
661,3
661,5
661,15
662,10
663,4
665,4
665,7
665,14
667,8
668,7
670,7
671,4
671,13
673,1
673,2
673,3
673,4
673,5
673,13
674,1
674,4
674,13
678,7
678,10
679,7
680,7
680,12
680,6
680,13
680,10
685,7
688,8
688,1
688,4
688,14
691,4
691,6
692,8
692,13
692,10
694,8
694,9
694,7
695,12
695,10
697,7
697,6
698,7
700,4
703,7
704,8
704,1
706,7
707,9
707,7
707,10
708,4
708,6
709,1
709,2
709,3
709,4
709,15
710,4
711,1
711,3
714,7
714,12
714,18
715,7
715,6
718,4
718,5
718,13
719,4
720,1
720,2
720,4
722,16
724,7
724,5
724,11
724,10
725,4
726,7
728,4
731,9
731,10
733,8
733,1
733,10
735,11
736,8
736,1
736,6
736,10
737,8
737,13
741,2
741,13
742,11
742,10
743,4
745,2
745,3
745,4
747,4
748,8
748,13
748,10
750,4
750,14
757,7
759,16
760,7
760,14
761,8
761,1
762,4
762,9
764,7
764,6
765,4
765,7
766,7
773,7
775,11
775,12
778,4
778,9
778,7
779,7
779,6
780,8
780,1
780,13
780,10
781,7
782,7
782,10
783,2
783,3
783,7
783,15
783,6
784,4
784,10
785,4
786,8
786,7
786,10
788,4
788,5
788,6
788,13
790,7
791,16
795,7
798,8
798,1
798,7
798,10
799,4
799,11
799,10
800,7
800,12
800,18
801,3
801,4
802,7
802,6
803,4
803,7
803,6
804,4
804,6
805,7
805,10
806,9
806,7
808,1
808,3
809,8
809,1
810,3
810,4
810,5
813,4
818,4
823,7
824,7
824,12
828,1
828,3
829,4
829,5
829,15
830,4
832,9
832,10
833,4
835,7
836,8
836,1
836,10
837,3
837,4
837,5
838,4
838,7
838,6
839,8
839,10
840,3
840,4
841,11
842,4
842,11
848,7
849,8
849,1
849,13
849,10
851,7
852,4
852,7
852,6
858,9
858,7
861,8
861,4
861,9
861,10
866,9
866,7
866,6
866,10
867,4
867,9
869,9
869,7
869,15
869,10
870,4
875,8
875,9
875,7
876,8
876,4
876,9
876,10
879,11
879,10
880,13
880,10
881,3
881,4
882,7
882,10
885,3
885,7
885,5
886,8
886,4
886,9
888,1
888,2
888,3
888,15
889,7
889,6
891,11
891,10
892,4
892,7
892,6
893,7
896,7
897,1
897,7
897,6
897,14
898,4
898,7
898,6
899,4
899,15
899,6
900,15
900,6
901,4
901,15
902,7
902,6
903,7
903,12
903,6
903,10
904,12
904,10
905,4
905,6
906,7
906,10
907,4
907,15
907,6
908,8
908,1
908,12
908,6
908,10
909,4
909,7
909,6
910,4
910,9
911,4
911,9
911,12
911,6
911,10
912,7
912,6
913,19
913,12
914,4
914,7
914,15
914,6
915,4
915,6
916,4
916,7
916,6
917,3
917,7
918,15
919,1
919,3
919,5
919,15
920,7
920,6
920,14
921,4
922,7
922,19
922,6
923,7
923,12
924,1
924,7
924,13
926,7
927,4
928,7
928,12
928,6
928,10
929,7
929,19
929,12
929,10
930,19
930,6
930,10
931,12
931,6
931,10
932,7
932,6
933,9
933,12
933,6
933,10
934,4
935,4
935,15
936,4
936,6
937,4
937,6
938,15
940,8
940,1
940,6
941,1
942,9
942,19
942,12
943,7
943,5
943,6
944,7
945,4
945,15
945,6
946,4
946,7
946,14
947,4
947,6
948,7
948,6
948,18
949,7
950,4
950,9
951,4
951,6
952,1
952,4
953,3
953,7
953,5
953,6
954,7
955,4
955,6
956,7
956,6
959,7
961,7
963,15
965,7
965,12
965,10
968,11
968,13
968,10
969,1
969,4
969,6
969,14
970,1
970,4
970,9
